Prénom;Nom;Date de décès;Âge;Année de naissance;Catégorie;Fichier image
Gérard;Oury;19/07/2006;87;1919;Réalisateurs;gerard-oury.jpg
Jack;Warden;19/07/2006;85;1921;Acteurs;jack-warden.jpg
Raymond;Devos;15/06/2006;83;1923;Humoristes;raymond-devos.jpg
Jean;Roba;14/06/2006;75;1931;Dessinateurs;jean-roba.jpg
Billy;Preston;06/06/2006;59;1947;Chanteurs;billy-preston.jpg
Claude;Piéplu;24/05/2006;83;1923;Acteurs;claude-pieplu.jpg
Max;Meynier;23/05/2006;68;1938;Animateurs;max-meynier.jpg
Philippe;Castelli;16/04/2006;80;1926;Acteurs;philippe-castelli.jpg
Jacques;Legras;15/03/2006;81;1925;Acteurs;jacques-legras.jpg
Darry;Cowl;14/02/2006;80;1926;Acteurs;darry-cowl.jpg
Andreas;Katsulas;13/02/2006;59;1947;Acteurs;andreas-katsulas.jpg
Thierry;Fortineau;08/02/2006;52;1954;Acteurs;thierry-fortineau.jpg
Philippe;Dumat;10/01/2006;80;1926;Acteurs;philippe-dumat.jpg
Arlette;Gruss;02/01/2006;75;1931;Divers;arlette-gruss.jpg
Benazir;Bhutto;27/12/2007;54;1953;Responsables politiques;benazir-bhutto.jpg
Philippe;Clay;13/12/2007;80;1927;Chanteurs;philippe-clay.jpg
Karlheinz;Stockhausen;05/12/2007;79;1928;Compositeurs;karlheinz-stockhausen.jpg
Maurice;Béjart;22/11/2007;80;1927;Danseurs;maurice-bejart.jpg
Pierre;Granier-Deferre;16/11/2007;80;1927;Réalisateurs;pierre-granier-deferre.jpg
Robert;Rollis;06/11/2007;86;1921;Acteurs;robert-rollis.jpg
Khun;Sa;26/10/2007;73;1934;Criminels;khun-sa.jpg
Deborah;Kerr;16/10/2007;86;1921;Acteurs;deborah-kerr.jpg
Marcel;Marceau;22/09/2007;84;1923;Acteurs;marcel-marceau.webp
Colin;McRae;15/09/2007;39;1968;Sportifs;colin-mcrae.jpg
